ProductcodeSet
"051219,060781,054841,120422,130079,131225,126612,132121,154164,154262,154263,263931,263920,275438,283051,283948,290573,290575,298089,310180,317698,319431,322406,437644,454984,468337,470291,471486,477946,490954,492059,495009,496050,496055,501439,504020,505514,510523,513955,518702,519326,530823,531344,533177,539989,544520,560151,560153,564986,566837,572335,573324,573325,597200,628311,635212,654465,662712,662901,662965,667157,667774,667776,667777,680591,680860,680950,689837,698373,701541,710058,710809,712913,713034,731260,731975,731977,735041,738083,741659,756076,777739,783503,785725,796850,802324,803217,804439,805676,807142,807376,815360,819788,835048,844599,848889,859133,860005,863350,863352"
"871606,875251,875550,876117,880155,887372,887633,891042,891043,914580,920909,924786,929020,934239,942556,946361,946370,947770,952744,953977,956756,959136,962123,973112,978151,997599,1003788,1013435,1016248,1020736,1020866,1022926,1023614,1025244,1034193,1038757,1048663,1048722,1055090,1055107,1075482,1075486,1090318,1108122,1108436,1109794,1109800,1110439,1128044,1130863,1136008,1141254,1145153,1153185,1154943,1160973,1184657,1195559,1209843,1211882,1224105,1224410,1231830,1233185,1243466,1246479,1248472,1248859,1258009,1266774,1271861,1294554,1295271,1300048,1304691,1306607,1322267,1324412,1345401,1345718,1351369,1363125,1366686,1367004,1378836,1385778,1385786,1393425,1399822,1403536,1420543,1423392,1423393,1428514,1428564,1430939,1446326,1451399,1456188,1474996"
"1487689,1526341,1528588,1531238,1531920,1534051,1545814,1545903,1546215,1546297,1551296,1551300,1551306,1551657,1552766,1553248,1568159,1569714,1571307,1576455,1578762,1587037,1591721,1595389,1596384,1596869,1599758,1603781,1604115,1610103,1612559,1614871,1625069,1631307,1631518,1632121,1640795,1643293,1644121,1644377,1688660,1696879,1704532,1707539,1710099,1710220,1728975,1739253,1739291,1748360,1787071,1789408,1823800,1831852,1833132,1836696,1839481,1839486,1841251,1841255,1841899,1843142,1843655,1843668,1847182,1862968,1864409,1893903,1902283,1914118,1921705,1928031,1931752,1934457,1938303,1943796,1946610,1947013,1949725,1951452,1965611,1980181,1981531,1982858,1983373,1983729,1985102,1985336,1987140,1990206,1991716,1991723,1998252,1998253,2000529,2001200,2012993,2022888,2024350,2024351"
"2024364,2024366,2024367,2024368,2024376,2029166,2034720,2037970,2041565,2041576,2041578,2041581,2041608,2042632,2042633,2042637,2050141,2050146,2050151,2053071,2066530,2066673,2074758,2074802,2087175,2093205,2112235,2112302,2120875,2120878,2130154,2139956,2140723,2162575,2163863,2163960,2163962,2163964,2164404,2169971,2175011,2175018,2175032,2175971,2177384,2182876,2183263,2188167,2188172,2188180,2188183,2188187,2188807,2189377,2189380,2191868,2193645,2193647,2193648,2200269,2209827,2209845,2221924,2238416,2254077,2264119,2269065,2269069,2270197,2273307,2280254,2281178,2281529,2282203,2284467,2288083,2288097,2291141,2293107,2297884,2307267,2308459,2308462,2308464,2314730,2317598,2319447,2319460,2319463,2319702,2320450,2325322,2328188,2328281,2329156,2337316,2347450,2359046,2359050,2359487"
"2359518,2360313,2360509,2365009,2368485,2372530,2383967,2385395,099897,107245,107240,107237,107244,214790,245722,247094,257085,257192,257090,259740,259741,263948,265723,276448,280765,283947,297304,298396,304245,304238,305569,307186,326764,330734,355539,361413,370657,406880,406992,406997,407002,407730,415145,422325,434904,434905,440160,441720,465720,470371,482969,491170,493324,494643,503478,508448,509843,517706,519697,525395,525396,525397,525746,525748,532214,543050,545265,570715,597387,635687,643241,643244,645694,647274,647485,648728,658048,658224,674700,710060,710808,713773,713826,714717,715767,726903,740581,745536,752473,754979,758320,771339,772044,772245,774472,775688,775693,784434,790755,791110"
"800682,811473,811904,832721,836203,840113,845351,848191,850574,851420,870053,870586,880173,888528,895619,895771,920654,920660,922881,924152,927939,933048,936117,936119,936725,937250,937282,937343,942293,942298,955163,957726,959063,959328,961352,962973,963622,965684,976476,978817,980983,984797,990109,1022768,1039683,1054543,1074007,1074012,1074014,1074015,1074017,1095753,1112458,1114646,1116596,1118525,1125047,1141061,1152183,1156620,1215327,1215951,1221175,1221181,1223931,1226397,1226399,1226584,1239925,1239927,1243470,1258700,1259193,1269643,1285254,1291583,1328067,1328110,1329918,1334405,1340549,1346184,1366747,1394255,1394261,1394685,1402724,1426076,1426566,1441172,1448329,1454051,1456238,1475000,1483252,1492164,1493357,1494639,1499721,1505632"
"1524732,1556232,1556237,1556246,1556311,1556313,1556322,1567124,1568158,1571302,1617847,1619705,1628170,1630661,1641614,1654140,1654141,1654142,1654143,1654144,1654146,1654158,1654159,1666092,1689549,1712114,1734575,1734905,1735573,1735663,1735773,1736548,1738575,1741501,1748139,1748336,1749934,1755659,1759495,1765191,1771468,1772379,1773035,1773042,1773048,1773064,1773070,1773077,1773081,1773082,1773083,1773084,1773090,1773093,1774888,1774892,1774925,1774927,1789232,1806486,1807649,1833994,1834101,1837811,1866602,1921247,1921256,1921257,1921261,1933021,1934713,1957023,1982399,2036520,2054342,2054345,2056805,2064303,2065404,2086362,2086364,2102545,2103740,2104259,2106822,2112193,2116404,2116406,2132099,2132100,2136359,2136372,2138209,2161092,2168068,2170114,2177605,2180987,2188421,2190621"
"2190642,2192130,2193252,2196150,2196151,2198598,2198745,2201839,2201840,2213666,2221140,2221144,2221153,2221154,2221155,2222542,2246960,2248034,2250406,2252840,2254463,2256993,2261992,2263079,2272165,2280760,2284055,2284482,2298674,2309086,2313753,2317796,2319417,2328262,2341568,2346492,2348637,2357978,2364435,2366549,2369109,2383560,2390106,2391459,2392406,2401049,2404102,2415453,2425913,2428450,2445295,2451406,2451410,2451413,2451417,2451420,2454875,2457698,2457768,2466973,2467049,2476094,2479016,2486070,2486702,2486716,2497651,2501173,2505770,2511047,2513823,2520060,2522540,2530981,2534143,2541183,2553058,2554873,2554874,2554877,2554878,2554880,2557620,2557621,2557622,2557623,2557624,2557625,2557626,2557627,2557664,2562914,2565731,2565830,2583055,2583460,2584471,2587301,2587695,2587698"
"2587732,2587828,2587985,2587986,2587988,2589811,2592245,2592253,2592534,2592972,2598780,2607420,2611324,2612493,2620685,2633732,071100,069288,188698,207968,232118,237487,240158,240559,240765,240766,240767,241691,242648,283946,306520,331461,331408,347752,347751,386618,410976,436322,437829,453805,469699,469700,469708,503475,503476,531343,539239,540004,567214,583200,583257,595165,595167,595169,595171,595173,595175,595177,596229,646904,671845,684485,696950,704441,706377,708599,708625,715766,731462,732597,748332,755920,783743,797419,797420,806554,817838,835105,835107,920138,920140,920143,920147,937287,945418,948898,967187,974565,1002490,1011776,1032725,1044076,1059813,1077184,1090332,1101091,1133698,1167939,1183377,1190181"
"1194186,1194234,1216029,1223687,1224106,1226573,1226575,1226576,1226578,1226579,1226580,1226581,1238244,1241299,1243918,1246481,1249009,1259310,1260022,1266058,1278091,1295246,1308991,1309098,1313289,1321806,1322185,1322926,1322940,1340557,1341644,1341921,1357172,1359584,1366732,1389304,1394146,1403543,1418041,1424983,1452688,1459509,1460070,1462623,1463684,1467069,1469413,1469510,1477587,1490241,1490259,1490260,1490300,1491046,1491047,1491061,1491070,1491937,1492527,1497339,1497342,1507615,1548589,1553169,1555117,1557030,1557398,1604085,1606244,1606814,1608905,1616994,1619607,1619894,1627892,1647550,1647995,1649797,1651047,1652198,1653853,1656541,1665624,1668634,1673300,1676825,1680736,1684883,1684885,1684887,1685268,1685269,1685270,1687220,1688307,1689111,1689114,1689119,1689123,1689148"
