Zipcode
10001
10011
30303
10003
10022
33132
20011
14202
11201
90001
90002
90003
90004
90005
90006
90007
90008
90009
90010
90011
90012
90013
90014
90015
90016
90017
90018
90019
90020
90021
90022
90023
90024
90025
90026
90027
90028
90029
90030
90031
90032
90033
90034
90035
90036
90037
90038
90039
90040
90041
90042
90043
90044
90045
90046
90047
90048
90049
90050
90051
90052
90053
90054
90055
90056
2124
33324
11203
30331
15212
20005
32244
11230
33134
10032
10452
30024
30324
21224
11234
33411
33025
10012
33023
11001
11220
11233
11212
10014
14221
33125
30044
35244
20151
10314
32003
11413
21234
21225
22030
11204
10451
30034
10033
35211
33311
22201
21043
11235
2215
33142
35242
33312
14215
