Productcode,version
698296,3.4
742153,
1131185,
1100269,
600106,
620821,
613964,
1019989,
675529,
678424,
610538,
613783,
1231617,
620887,
1114532,
613900,
657965,
947247,
1281480,
780580,
1026288,
602752,
606157,
1096667,
1199658,
1278051,
740115,
1763586,
889827,
644467,
644468,
1154286,
613897,
613983,
1403247,
620884,
1222106,
813954,
2050797,
885985,
1139075,
989279,
1039458,
2388499,
844712,
712644,
671877,
654356,
632336,
657806,
681997,
1158190,
602752,
1096666,
4728703,
